post_id,post
13,"Hi allI've recently had gastric bypass surgery after many years of research and trying the natural way of diet and exercise. I'm 54 now and wish I had done it sooner as I find it hard to breathe therefore exercise is hard. Mobility is hard. Everything is hard. From the moment I get up to the minute I lay down at night. My depression and anxiety stems a lot from being made too responsible for too much from a young age through till now - caring for everyone else at the expense of myself like a martyr. I'm the middle child of seven and never felt loved or valued by my family except for what I could do for them. I then transferred this self-worth to my professional and social life resulting in DV in the workplace, doing all the hard stuff and getting none of the credit. No promotions, underpaid and taken advantage of. I never realised how bad depression could be AFTER weight loss surgery. I didn't expect to be thin straight away and I already had anxiety depression before the surgery for the last 30 years so knew it would be hard. I don't know what this Mind Body connection is and it's scary. BUT I'm on the journey to discover what it means to me and my health. Anyone else can relate?"
14,"Hello, I am in a really low spot. I have bipolar, depression PTSD, anxiety. Now i look back on things I think i have been out of control for the last couple of months. I have spent all our money, i have got secret credit cards my husband doesnt know and maxed them all out and we have no money. I feel awful but i started joining dating apps and have been meeting up with people for casual sex. I normally dont have a big sex drive but the last month I cant stop thinking about it. I feel like im addicted to the apps. I keep deleting them and then install them again. I know I am being very unsafe. I also purchased some pain relief medication from someone which is opiod based and now i can not stop taking them. If i dont have one every few hours i feel horrible and start sweating. my life is crazy, my husband doesnt know and im to scared to tell him."
15,"i'm having the most exhausting time this past week, going in an out of anxious and depressive moods, with tiny blips of feeling ""normal"" or ""excited"" about life. right now, everything feels boring, bland, and pointless. all of the things i usually love are not making me feel good. i can't stop thinking about the purpose of anything in life, it feels like all of the normalcy that usually keeps me afloat has left my brain. just looking at objects in my bedroom/house make me feel anxious as well. my brain also keeps overanalysing everything, trying to convince me something is wrong when it isn't. the intensity keeps changing throughout the day: sometimes its really easy to fall asleep or i can have a good conversation with someone, other times i am completely consumed with the depressive/anxious symptoms, like right now. its making me so tired, i don't want to shower, eat, brush my teeth etc. i'm scared that i can't handle the challenges life throw at everyone- that i am too soft to handle any of it."
16,"Hi there, day 6 on SSRI (meds) and my intrusive thoughts are more prevelant and nastier - keep thinking I will act on the them due to the thoughts - anyone out there have a similar fear?"
17,"After an incredibly stressful 24 hours, I had to make the awful decision to surrender my little dog Grub. She is unwell, but will continue to receive Vetirinary care with the rescue agency. It was going to add up to thousands, and I financially have let this dog down. Also, when the grubs acute illness started, my mental health plummeted and a lot of unresolved internal issues arose - and I realised I cannot care for her. I had been spending the last few weeks realising, Grub deserves stability consistency and peace that I cannot provide her. Since I first got her, I've struggled to help her find peace even with moving to new environments, training with behavioural trainers, medication for her anxieties and stress, and endless love. I am such a failure for this. I don't even know if she will get better but she is in the care of someone who is more resilient than me and can manage it. She is such a good dog. I know in my heart that there is a better home for her and people that can better help her get well. I let her down, I let her get sick and then I couldn't manage. I just wanted to post to try seek some comfort from this community, because I'm feeling awful. I'm scared of getting negative comments because of what I have let the situation becomes, but I'm so alone right now."
18,"I want to sleep, I take a sedative to help me be calm.I am tired, but so wound up.A flood panic comes over me, I hate .I think ahead for life and wonder if I am going to be like this forever, how am I going to move on and live like this.Does anyone get like this?"
19,"Hey everyone! Don’t know if this is going out to the void but been struggling with extreme anxiety and regular patterns of avoidance. Has been a repeat cycle of getting better and feeling like an actual human being and then talking two steps back. It has been very isolating seeing other friends my age all socialising and enjoying the holiday season while I am struggling to get out of the house most days. Also feeling a bit left out when some common friends made plans without me. Have also started having extreme phone anxiety and avoidance- been sitting on some text messages and lunch plans for 3 weeks now and can’t stop thinking about wanting to reach back out but can’t bring myself to respond back to the messages. I don’t know where this avoidance is coming from. The whiplash from wanting to go out and continue these relationships (I really do care about them) but also unable to do anything makes me feel like I am just sabotaging and ruining my own life. I also have no social activities or regular activities to look forward to so this holidays was a very low point. I don’t know if anyone feels the same, especially feeling anxiety spike when there is no clear plan or routine. Will be starting a new job soon so feeling more anxious leading up to that as well. Overall just a melting ball of loneliness and anxiety but we persist! Just hoping for things to start feeling a bit better and to get over this but would appreciate any advice on strategies that helped anyone with extreme avoidance behaviour especially when living alone. Thanks!"
20,"if im being honest i feel a little stupid mentioning this as i constantly try my best to ignore it, and i dont mention it to anyone but my partner.Im not really sure where to start with this but put simply i have major separation anxiety and its affecting my relationship with my partner (Female) who for the sake of this post we will call ""K"".my partner K and i have been together for 7 months coming up on 8 months now, i have had really bad separation anxiety since i was a child, which i didnt realise i had it nor how bad it was until about 11/12 months ago, When i was younger (around 6/7 years old) my parents split, and i stayed with my mother, i also had a huge disdain towards my father and hated him throughout my life, he died when i was about 10 or 11 and i actively refused to go to his funeral because i hated him that much and was even glad that he died. or more so thats what i thought. when my current partner and i got together i had just gotten out of a long term (2 year) relationship 3 months before handmy partner K and i around our 1.5 month mark, decided to have some drinks one night (it was my first time drinking so we did it in her room just us 2, as i had always avoided drinking because i was scared to find out what kind of drunk i was) clearly that fear was a valid one as after about 6 drinks i was completely drunk (though i still remember everything clear as day) i ended up having a full mental breakdown where all of my pent up trauma finally came out including some i didnt even know i had, as i had apparently said ""i miss my father, i dont even know why but i miss him"" i had gone my entire life up to that point believing i didnt care about him but apparently i did.Anyway, fastforwarding a couple months, around our 4 month mark or so my separation anxiety towards K had gotten really bad, anytime we argued (i say argued loosely here) or anytime she was angry at me, i would instantly go into a panic where i cant help but be in fear that she is going to leave me (writing this out is infact causing me to slowly head towards that right now), as the following few months pass leading up to current time. it has only gotten worse, if i even feel her vibe is off im instantly panicking thinking to myself ""Is she losing interest, does she want to leave, does she still love me, do i make her happy"" etc.I cant help but constantly be in fear that im going to lose her and i really dont want to because she makes me so happy, i just want to fix this."
21,I am 45 female and constantly worrying about everything simplest thing to big stuff it’s really affecting my daily life . Don’t know what to do
22,"I feel like the world is going crazy and I am getting so anxious about everything. I've always had anxiety and managing my depression at the bay. And the news tells me there are wars, bad politicians doing unthinkable things, AI is taking over, a market crash is coming, and so on. (The biggest is the climate change and these bushfire news makes me cry and feel powerless.) I feel like these issues are my own and keep donating money and feel financial stress at the same time (by the way some donations are not even tax deductible). I worry that we will become unemployed and Australia will become like these countries with high unemployment rates or the climate change will cause food shortage, the US will take over these key geopolitical locations by force and the world is divided into 3. I watch Eckhart Tolle or do mindfulness practice to stay in the ""Now"" but it is very hard not to worry about the future for me and everybody else's. I don't have friends so I cannot talk about it to anyone. The problem is that I cannot just shut it out. I need to look at the news and pay attention to politics because I have to manage someone else's finances, so I need to pay close attention to macroeconomics and geopolitics, do research. How does everybody cope with the current affairs in the world?"
23,"hi,im currently struggling,i cant talk to my mum anymore, she doesnt listen, or care, she saw my sister twice over xmas and didnt even call me at all,its been like this for years and years,and if i talk to her on phone it takes a week of anxiety and anger to get over it,i cant do it anymore, i think i need to go no contact...its been like this ever since parents divorced at a young age,,i need to break ties,,i just try to be nice to keep the piece ,but im so angry with her all the time...its affecting my anxiety, we spoke this morning, ive done alot of exercise to help it today,but nothing fixes the anxiety and anger,it takes a week to subside then it starts again next time we speak. anyone else in this situation,i dont have anyone else to talk to,i havent spoken to a human person since beginnong of december,thank you"
24,I’ve been struggling with anxiety for about 3 years and it takes over my life more and more every day but my mum doesn’t realise how bad it is and she refuses to let me get medicated. How do I tell her that I really need it. I’m only 16 so I can’t get it myself.
25,"Hi all, I've been sharing a house with a couple (James, Sarah) for the last 18 months and it's presenting a few difficulties and contributing to anxious feelings: I hope it's appropriate for me to collect some of my frustrations here in the hope for some advice. I had known James for 8 months prior but had never met his partner Sarah. James and I got along relatively well as colleagues and coincidentally were both forced into a quick exit from our previous living situations and felt it would be appropriate to move in together. We had a few interests in common, so we figured it could work. Sarah is a self confessed introvert - we have nothing in common and struggle immensely to strike any sort of rapport unless there are a few beers involved. If we're in the communal area, at most it's a ""Hey, how are you? Good"" and that only stems from me initiating the conversation, otherwise she will pass by like I don't exist. If I enter and they're present, she will almost instantly leave, allowing James and I to have a slight amount of chit-chat that more often than not feels forced (for the sake of us knowing each other prior. He isn't a brilliant conversationalist also) before he leaves. I love my downtime, but I guess I'm also relatively extroverted. I feel I often need to speak to break the tension within the room just to feel like there is even a small sense of community. I try to strike subjects that I know they're both interested in, even if I'm not as well versed to try and lay some foundation in the hope that the next day might not be as difficult. You can literally cut the tension most days like butter. When I eventually burn out and can't be bothered trying and want to ignore them myself, I'm the worst person ever however. I don't want to be best friends but I feel perhaps a little bit of effort on both of their behalves would go a long way in making the house a little more enjoyable. I respect their space when cooking and will join the kitchen from my room once they've sat down to watch some television, but more often than not find I'm locking myself away in my room just to avoid the uncomfortable situation that inevitably awaits me. This is an ongoing thing during lockdown and its starting to affect my mental health hugely. Constant stress and anxiety; avoid them - feel bad, try to help, feel worse. It's a really uncomfortable environment. Apologies if this is a ramble, any thoughts or experience with this is greatly appreciated. Thanks kindly."
26,"I have run out of excuses. I have left my mental health untreated for too long. I thought that by totally upending my life that I would miraculously be cured of the weight that I carry. 18 months ago I lost my mother…my person. She was my entire focus. In caring for her in her old age, I was able to deny that I had developed severe anxiety and agoraphobia. I am ashamed to say, that I have never moved out of the family home. The house is in the process of being sold, and I have no option but to change. I forced myself to find somewhere new to live, and now that moving day is approaching in 3 weeks, I feel as if I am spinning out of control leaving my siblings to pick up the pieces. Why can’t I just let go. I am so scared."
27,"So I’m a 23 year old female who has always hade anxiety especially separation but be extremely heightened now due to various trauma over the past five years and is bad now. 5 years ago I was an 18 year old cramming my last bit of study before my last exam and getting excited to graduate after what was a crappy highschool experience. That night my mum had a stage 5 aneurysm (very lucky she survived as it the worst stage to have). So my world got turned upside down in an instant. So when everyone was enjoying holidays I was in and out of hospital visits not just for my mum but for myself (as I was having several anxiety attacks a week that no one knew what to do in these situations) including myself. Fast foward 5 years my mum was diagnosed with aphasia due to her stroke. Luckily she has learnt how to do stuff like clean, cook, shop, drive. But struggles to read and understand conversations. I have found out like not even a week ago that after over 25 years of marriage my parents have decided to seperate. We are still staying in the same house while mum continue with her recovery but hope that we can help her be independent but it’s a long road ahead 4 years ago I got a boyfriend who I love. And shared great memories with. We always talked about moving to his home town which is 2 and a half hours away. Because he always played to I love the idea of a fresh start and hoping that it would give me better job opportunities. But every time we go to visit or a stay anywhere away (holidays or even staying at someone’s house) from home my anxiety gets triggered because of my home issues. We have been together a long time and have sturggled to see a lot of each other even before this happened. And I feel like it’s developed to a lack of effort on both parts. Right before I was going to have a conversation with him about where we were at as I felt my mental health as been already struggling, my parents announced their separation. So as you can see this has now made me spiralled a bit. I decided to put a break on mine and my boyfriend’s relationship until I decided what’s next and everything dies down. The problem I don’t know when that is and I’m extremely scared for what comes next. He has always been supportive of me and understood this decision as I thought it was best not just for me but for him. Anyways enough blabbering how can I overcome such bad separation anxiety that is causing me to self sabotage relationships and live my life like every 20 something is doing?"
28,"Hey guys,don’t really post much on here,for no reason at all I suddenly got anxiety belly I have had it for the last week which is really getting me down,it’s affecting my work and don’t want to do anything I’m on antidepressants,and another medication but yesterday out of knowhere I felt ok during the day and then I went to bed woke up and it just all started over again and it’s making me so down I don’t know what to do"
29,"I believe I am mentally fucked up and there is nothing that can fix it, as much as I want to fix it I don’t think I can, society has taught me from a very young age that no one can be trusted not even family, but I would like to be loved and show love but my anxiety gets in my way as I don’t know what reaction I will get because I have trusted people in the past, pushed myself beyond the fear just to be mentally scarred and rejected, I am going on 35 years old, I can’t work as I trusted a so called supervisor to do the right thing which has left me with a irritated shoulder that causes pain, I have social anxiety, I fear the worse will always happen, I am broke, the chemist has somehow messed up on my medication refills and says I got them on a day, that I know 100 percent that I didn’t and now I have to wait a few weeks before I can get them, so I am in what they say withdrawals at no fault of mine, I am shaky, tired but not sleeping much, I get agitated quickly, I have these weird feeling inside my head kinda feels like a dull sensation and there’s a voice in there also telling me to kill myself as there is nothing in life for me, I can’t be fixed, I’m a hopeless matter, I want to die, I can’t be fixed people have tortured my mind and I’m broken"
30,"I have successfully used a variety of antidepressants throughout different stages of high stress (mainly post natal). But I recently went through a traumatic separation after 17.5yr marraige. It turns out i have been under narcissistic abuse for a long time, typical... I believed i was the mental abusive one but i was actually being gaslit and manipulated. My husbands lies and cheating and made up stories got me to the end of myself so i tried to separate and then he turned psychotic snd the gsmes strengthened and I was physically assaulted and the police put a no contact advo in place. Throughout this period and still, I continue to attempt meds to cope with it but it doesnt matter what type i try they all end up causing severe panic attacks everyday and it only stops when i stop the meds. I told chat gpt about my experience and it came up with why I was experiencing this...in a nut shell, because my nervous system was in fight/flight for so many years the antidepressants can stimulate these already constant responses. Has anyone else had this kind of experience and did you find something that helped? Anti-anxiety medication helps but is short term and after a few uses my heart starts feeling funny. Without meds I am completely lethargic, anxious and cry every day."
31,"I know this isn’t meant to be a place to vent, but I have this feeling in my chest that I don’t want to ignore for much longer… Recently ive been procrastinating on a lot of things in my everyday life and im aware that I am, it’s just that im not motivated or feel like doing these simple tasks anymore. My parents say that I make a big deal over my quote: ‘laziness’ and then my emotions get the better of me When this happens I usually stay in my room and either fall asleep or cry for a while.. My parents call this overreacting but I feel it’s something more, regardless if they don’t want me to get a diagnosis"
32,"Hi I take medication for anxiety and depression, seen psychologist for few visits, changed meds but I have this overwhelming sense fear want to switch it of . Just hits all of a sudden and unable to prevent it. Try activities, body scan, music exercise but I am never fully coping. I know I should participate more in the community but I don’t want to do so if I can’t do it regularly. Anyone have any ideas?"
33,"I was on antidepressants for over 2 decades and tapered off slowly and successfully. I’m F 59. It’s been just over 3 months since stopping SNRIs and I’m experiencing awful symptoms of anxiety, dread, irritability, negative thoughts, and suicidality. I didn’t experience these symptoms prior to starting meds. I started with some other natural medication but I’m not convinced it’s helping. I do a lot of self care eg exercise, eating well, sleep hygiene, etc. How long will these symptoms last? Is my brain just wrecked forever and going back on medication is the solution?"
34,"Hello, everyone. Those who've seen my previous posts will know I have a husband who has been very sick and an adult son with some mental health issues. The good news is my son has been making an effort to practise his drumming every day. My psychologist says it's a good sign that his mental health is improving. I have mentioned my husband has isolated himself in the shed. The problem I have is that he has been hoarding rubbish (literal rubbish, but not food scraps, thankfully). He has cleaned the shed before, but it has started again. He had an ABI about 15 years ago, so maybe this is a result of that. I am at the point where I want to move out for my own good. I am going to speak to my husband after Christmas and tell him that I have to make decisions that are good for ME. It's not an actual separation, but we do need space. I am very unhappy with the dynamic of the house and our relationship. I am thinking of suggesting a specialised cleaner (who deals with hoarding etc) come in every two months if he cannot face the thought of cleaning the shed. Has anyone else ever lived with this situation?"
35,I have just started and job and I'm literally in tears just before I go. I have 2 jobs and I work with the rosters I'm given. A day before I go to my other job this job asks me to work. I say I can't. For the rest of the day the tension is high. Whatever I do is wrong. And I had my boss mumble well it would be good if you could do your 15 hours a week. Like it's my fault I am at another job. Which they knew I had and I had also said I wasn't available. This is just one thing. I feel I can't do the job. But I've been doing it 30 years at different places. I was shown how to mop a floor yesterday. I have never been shown that in 30 years there's been no problems. It's just awful and I hate going.
36,So 12 months ago I had issues with isolation ; mental health decline due to flood and not getting medication to treat my condition the work place I am in would often involve into my home life and say if he loved you he would buy you this and do your hair if he loved you he would work well all year of that little bits here and there I started to believe that. I was withdrawing from meds due to floods the isolation and heat from rain I had a brake down went to boss said I can’t do this anymore and he called police thinking I was being abused police put charges took 8 months for court to drop them. I went to work everyday I was bullied by wrong information given or none. Micro managed left to do all on my own act manager and no thanks at all. I looked after their child (mother say at home needs a brake ) it’s a busy workplace to have babysit. I was always yes this due to the house is part of work agreement -when I started standing up for myself it has come to a point where I am not listen to and storm off or not talked to so I can’t help customers. I have a new town to go to but the rivers are over for next weeks and I have to go back to work I have no medication for anxiety and pain as mail late by week
37,"Hi, I'm 29 years of age and struggle with both chronic physical and mental health conditions. Things have been bad with my relationship with my parent for a long time now. I'm currently having adrenaline spikes in my body many times, every single day and night. My parent is definitely my biggest trigger. Yet the idea and process of going into rent also terrifies me. I've never lived outside of home before and as my parent owns this home, I don't know anything about renting. All my brain tells me is that renting is not secure because you can't stay there forever.. I currently have an active eating disorder and due to another medicat condition, I'm prone to being sick. I also consistently battle symptoms of dizziness, etc. Yet my parent has told me they think I'm faking everything.. I overall feel incapable of existing at home but just as incapable of moving out due to the state of my body and mind. I'm thinking of trying to go to Centrelink on Monday to speak to a social worker there about everything. I am currently on a wait list for crisis accommodation and am on SA Housing Trust's list for housing, although they've put me in Category 3.. Most of this year has involved me being in and out of hospital too. Things are just absolutely horrible. I've completely lost who i am and i don't know how to get through this. I don't know if anyone is/has been through something similar but i thought I'd share. - Dreamer_95"
38,"I’m living through healing at the moment. A week ago I made a plan to end my life. Since then I have been on meds, off from work, seeing a therapist and trying day by day to improve. It’s a long journey and I have found mornings my challenge. I feel like the day full of responsibilities hit me all at once. I’m still not eating due to the anxiety and possibly meds. It’s like running on pure adrenaline at times. I wake at 3/4am and just lay there quieting the intrinsic thought in my head. I have improved since a week ago and know that it takes time, especially with medication to take effect, but I thought again of suicide this morning. It’s like every step forward I tell myself it’s two steps back for even considering it. I keep going."
39,"Its a very common topic on this forum, anxiety and its long list of symptoms. I grew up in a highly strung household. Screams without notice and unreachable expectations...took their toll. So when a major workplace event came along at 27yo my anxiety came to roost. Its peak was reached. I visited my GP and therapy commenced and lasted 12 months. My therapist identified l needed the following- Awareness of the severity of my anxiety Reprogramming of my thoughts like thinking realistic thoughts Stop worrying Learning relaxation Rehabilitated into a diffetent profession. He was correct. Add to that, medication for 12 years to ""help me on my way"" My change of career went from local law enforcement (where it was full of controversy) to a supervisor of adults with mental illness difficulties in a sheltered workshop. Some years later a friend told me about Maharaji Prem Rawat and copied tapes of his speeches. My relaxation up till now was using muscle tensioning exercises at night, now l also listen to this fabulous man. Later I'd google his youtube videoes. Maharaji sunset Maharaji the perfect instrument. And many more. So what other measures?. Well l began to rid my life of toxic people, change my environment to the country, grow vitamin packed vegetables and fruit, revamp finances and utilise direct debit (less bills in the mail, less surprises) and increased my positive thinking by attending motivation lectures. By 2012 my anxiety was no longer measurable. Yes 25 years. Do readers think it would only take a short time? Likely yes, because l did. Like other ailments, a pill alone isnt enough, relaxation alone not enough and so on. Its the combination of many things that was most effective for me. Undertaking a review of all facets of your life is essential for recovery. And dont be alarmed if you try something and it doesnt work. Eg Cognitive therapy didnt work for me but l read here that some have had success. As it turned out in 2009 it was discovered l had bipolar2 depression and dysthymia. The same personal approach was made. Never give up, review my environment, review friendships, lower stress, lower debt, have a 5 and 10 year plan for goals etc Sometimes subtle changes are needed like introducing a sport or hobby, sometimes radical ideas like relocating or career change. Whatever is needed put all options on the table. Anxiety the mental illness deserves nothing less than your full attention. What works for you.? Tony WK"
